timestamp,power,gpu_load,temp
1773338948.2149308,3766,0,44.593
1773338948.7202568,3806,0,44.906
1773338949.2271175,3766,0,44.625
1773338949.7333083,3846,0,44.906
1773338950.2396414,4472,32,44.656
1773338950.7480643,4120,0,44.718
1773338951.2563846,3886,0,44.718
1773338951.7648602,3846,10,44.843
1773338952.2711673,3886,0,44.718
1773338952.778067,3886,0,44.843
1773338953.287627,3846,0,45.0
1773338953.7957976,3806,0,44.625
1773338954.3030224,3926,0,44.687
1773338954.8094788,3926,0,44.562
1773338955.3171334,3886,0,44.687
1773338955.8230622,3846,0,44.781
1773338956.3289905,4006,26,44.687
1773338956.8347492,4968,32,44.718
1773338957.34105,5237,35,44.781
1773338957.848274,5126,0,44.718
1773338958.354469,5135,0,44.781
1773338958.8611891,5095,0,44.812
1773338959.3680208,5095,0,44.906
1773338959.8754005,5095,0,45.062
1773338960.3822324,5095,0,45.156
1773338960.8889036,5095,0,44.937
1773338961.3952086,5095,0,45.031
1773338961.9021316,5095,0,44.968
1773338962.4106565,5095,0,45.062
1773338962.9166837,5095,0,44.968
1773338963.423987,5055,0,45.093
1773338963.9313705,5055,0,45.281
1773338964.4381762,5055,0,45.156
1773338964.9462302,5095,0,45.25
1773338965.453459,5095,0,45.093
1773338965.9592907,5095,0,45.312
1773338966.4654138,5166,36,44.968
1773338966.971479,5277,34,45.25
1773338967.4786437,5246,0,45.031
1773338967.9869976,5135,0,45.281
1773338968.493343,5095,0,45.0
1773338969.0004873,5135,0,45.156
1773338969.5063372,5135,20,45.312
1773338970.0132322,5135,0,45.062
1773338970.5206933,5095,0,45.156
1773338971.0268686,5095,0,45.062
1773338971.5341456,5095,0,45.156
1773338972.0403914,5095,0,45.093
1773338972.5482838,5095,0,45.125
1773338973.054711,5095,0,45.281
1773338973.5609827,5166,0,45.375
1773338974.0674903,5095,0,45.218
1773338974.5745451,5095,0,45.125
1773338975.0809593,5095,0,45.312
1773338975.5874634,5095,0,45.156
1773338976.09406,5095,0,45.25
1773338976.6002617,5206,34,45.343
1773338977.106551,5277,23,45.375
1773338977.612666,5206,0,45.187
1773338978.1205986,5135,0,45.218
1773338978.629704,5095,0,45.343
1773338979.1357586,5095,32,45.218
1773338979.6426222,5055,0,45.406
1773338980.1495073,5055,0,45.437
1773338980.6556587,5095,0,45.343
1773338981.161896,5055,0,45.312
1773338981.6681297,5095,0,45.343
1773338982.1742115,5095,0,45.25
1773338982.6804633,5095,0,45.281
1773338983.1867661,5055,0,45.156
1773338983.693588,5055,0,45.312
1773338984.199807,5055,0,45.312
1773338984.7059758,5135,0,45.281
1773338985.2122486,5095,0,45.25
1773338985.7183976,5095,0,45.312
1773338986.2258804,5095,0,45.187
1773338986.7319334,5246,35,45.531
1773338987.2377498,5317,19,45.312
1773338987.7437959,5166,0,45.281
1773338988.251473,5095,0,45.187
1773338988.7574837,5095,10,45.312
1773338989.2636771,5055,0,45.187
1773338989.7706358,5135,0,45.312
1773338990.278613,5095,0,45.406
1773338990.7866824,5095,0,45.281
1773338991.2935646,5055,0,45.375
1773338991.8000817,5095,0,45.593
1773338992.3071692,5055,0,45.406
1773338992.814523,5055,0,45.468
1773338993.3216972,5055,0,45.437
1773338993.8288631,5095,0,45.437
1773338994.3353128,5095,0,45.218
1773338994.8420672,5095,0,45.468
1773338995.3480103,5095,31,45.375
1773338995.8550642,5055,0,45.531
1773338996.361145,5095,47,45.687
1773338996.8678117,5237,10,45.5
1773338997.3750405,5277,0,45.687
1773338997.8821309,5166,0,45.25
1773338998.3891041,5095,0,45.656
1773338998.895907,5095,0,45.281
1773338999.4023063,5095,0,45.625
1773338999.9109087,5095,0,45.531
1773339000.4177516,5095,0,45.406
1773339000.924848,5135,0,45.5
1773339001.4332244,5095,0,45.593
1773339001.9400456,5095,0,45.406
1773339002.446274,5055,0,45.562
1773339002.9527302,5095,0,45.406
1773339003.4603212,5055,0,45.562
1773339003.967259,5095,0,45.437
1773339004.475296,5095,0,45.5
1773339004.9813225,5095,3,45.718
1773339005.4877481,5055,0,45.593
1773339005.994226,5095,0,45.625
1773339006.5005944,5166,45,45.562
1773339007.0067766,5277,10,45.656
1773339007.5151463,5246,0,45.656
1773339008.02169,5166,0,45.718
1773339008.529005,5095,0,45.437
1773339009.0359814,5135,0,45.718
1773339009.5418618,5576,41,45.437
1773339010.048598,5317,0,45.687
1773339010.5549707,5206,0,45.406
1773339011.0611238,5166,0,45.625
