timestamp,power,gpu_load,temp
1773338853.1065586,3806,0,44.531
1773338853.611898,3725,0,44.406
1773338854.117858,3766,0,44.531
1773338854.6242933,3766,0,44.468
1773338855.130726,3725,0,44.437
1773338855.6374748,3766,0,44.468
1773338856.1435468,3725,1,44.531
1773338856.651411,3725,0,44.437
1773338857.1577053,3725,0,44.468
1773338857.663536,3766,0,44.5
1773338858.1715941,3766,0,44.468
1773338858.6787887,3766,0,44.562
1773338859.1848638,3766,0,44.437
1773338859.6919196,3725,0,44.468
1773338860.1978667,3725,0,44.437
1773338860.7045457,3725,0,44.531
1773338861.2107391,3725,0,44.437
1773338861.7169058,3766,0,44.531
1773338862.2237446,3766,0,44.406
1773338862.730353,3725,0,44.437
1773338863.2373347,3725,0,44.343
1773338863.7431526,3725,0,44.468
1773338864.249405,3725,0,44.375
1773338864.7585647,3766,0,44.5
1773338865.2663522,3766,0,44.468
1773338865.773003,3766,23,44.656
1773338866.2796807,3725,0,44.468
1773338866.7865098,3725,0,44.531
1773338867.2932794,3766,0,44.75
1773338867.8016052,3766,0,44.593
1773338868.3084018,3766,0,44.656
1773338868.8147497,3766,0,44.437
1773338869.3218665,3766,0,44.75
1773338869.82809,3806,0,44.406
1773338870.3346314,3766,0,44.687
1773338870.8423827,3766,0,44.312
1773338871.3490398,3766,0,44.375
1773338871.8595862,3766,0,44.437
1773338872.366371,3725,0,44.531
1773338872.8730087,3725,0,44.437
1773338873.379922,3725,0,44.468
1773338873.8877275,3725,0,44.687
1773338874.3964257,3725,0,44.375
1773338874.9030077,3766,0,44.656
1773338875.4089503,3766,12,44.312
1773338875.9160774,3725,0,44.625
1773338876.421868,3725,0,44.25
1773338876.9307003,3725,0,44.312
1773338877.4372168,3725,0,44.281
1773338877.9484289,3725,0,44.468
1773338878.4543908,3766,0,44.406
1773338878.9615827,3725,0,44.468
1773338879.467687,3725,0,44.25
1773338879.976557,3725,0,44.281
1773338880.4827607,3766,0,44.218
1773338880.989102,3806,0,44.562
